captured_at,book_id,title,author,category,status,read_times,word_count,directory_entries,latest_numbered_chapter,comments,honor_gifts,honor_fan_value,honor_recommendation_tickets,weekly_gifts,weekly_gift_rank,top_supporter_display_yuan,previous_month_top_display_yuan,subscription_week_rank,new_subscription_week_rank,recommendation_week_rank,gift_week_rank,current_click_rank,current_click_value,source_url,notes
2026-08-31T14:05:00+08:00,3583700,星痕之门,伪戒,时空穿梭,连载,14796383,5881381,1194,1129,5002,95000,85033000,1188000,0,100+,7740,0.1,1,,4,,,,https://www.17k.com/book/3583700.html,目录含感言与更新说明；目录条目数不等于正文章数
2026-08-31T14:05:00+08:00,3038645,第九特区,伪戒,末世危机,完结,1082894797,6097963,2821,2751,,226000,400000000,8035000,0,100+,28000,,2,,,,,,https://www.17k.com/book/3038645.html,目录含感言与完结后免费内容；阅读为累计人次
2026-08-31T14:05:00+08:00,3660623,东北风云：黑血漫过松花江,岐峰,都市生活,连载,1746453,1030660,481,479,94,423,1189000,7879,0,100+,100.1,3,3,,7,,6,1373,https://www.17k.com/book/3660623.html,目录多2个非正文章节
2026-08-31T14:05:00+08:00,3669552,娘子，我真不想考状元,小俊爱汤圆,架空历史,连载,17060809,1693221,386,386,226,217,114000,1472,2,9,98,36,4,,10,8,1,283050,https://www.17k.com/book/3669552.html,目录编号连续；周礼物榜书页与男频页可能因时点不同而相差1位
2026-08-31T14:05:00+08:00,3006464,万古第一神,风青阳,东方玄幻,连载,124284392,17691411,,7703,,307000,360000000,6842000,0,100+,119449,1,6,,13,,,,https://www.17k.com/book/3006464.html,未单独计目录条目；最新编号来自作品页
2026-08-31T14:05:00+08:00,3597196,太上无情,风御九秋,洪荒封神,连载,9004070,1446250,531,526,3798,259000,82377000,1523000,3,1,157039.4,5000,9,,1,1,,,https://www.17k.com/book/3597196.html,目录含非正文章节；本周礼物榜首
2026-08-31T14:05:00+08:00,3667335,乾坤一主,老水湾的一笑,东方玄幻,连载,2534,628030,166,165,2,1,2658,26,0,100+,1.4,,12,1,,,,https://www.17k.com/book/3667335.html,新书订阅周榜第1但公开规模小；目录多1个非正文章节
2026-08-31T14:05:00+08:00,3665801,都市狂医:寒门崛起,老水湾的一笑,都市异能,连载,5433,563777,,209,4,103,11000,201,10,27,100,,,2,,,20,79,https://www.17k.com/book/3665801.html,未单独计目录条目；最新编号来自作品页
2026-08-31T14:05:00+08:00,3672220,一口粮,古占,现实题材,连载,8657,207517,45,45,29,2339,234000,4179,6,2,1256,362,,,3,2,9,22,https://www.17k.com/book/3672220.html,礼物强度高但阅读人次小；公开金额是支持者展示值而非作者收入
2026-08-31T14:05:00+08:00,3675375,大宋三十六将,相遇相知到相爱,架空历史,连载,90537,63492,16,16,14,159,31000,208,1,7,158,,,,,6,1,213,https://www.17k.com/book/3675375.html,男频礼物榜页面为第6而作品页稍后显示第7；按来源分别保留
